GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,pL,pW,pERA,pSV,pCG,pSHO,pQS,pIP,pH,pER,pHR,pBB,pSO,pOBA,pWHIP
162,5596,729,1379,252,25,213,698,2320,462,1435,84,0.246,0.31,0.415,0.725,54,108,5.59,27,0,5,41,1443,1544,897,305,561,1248,0.271,1.46
162,5770,901,1554,345,27,245,857,2688,590,1382,68,0.269,0.34,0.466,0.806,84,78,4.7,33,1,8,55,1471,1423,768,215,605,1633,0.251,1.38
162,5542,769,1368,268,21,220,734,2338,586,1276,65,0.247,0.324,0.422,0.746,72,90,5.12,32,0,2,22,1442.2,1417,820,267,576,1404,0.254,1.38
162,5425,769,1354,286,18,223,731,2345,563,1332,103,0.25,0.323,0.432,0.756,93,69,3.76,42,6,16,81,1437.2,1308,601,207,450,1508,0.24,1.22
162,5496,691,1356,281,40,162,655,2203,456,1405,117,0.247,0.309,0.401,0.71,59,103,5.2,37,1,7,59,1425,1525,824,221,582,1230,0.273,1.48
162,5542,769,1366,279,17,250,744,2429,629,1563,101,0.246,0.329,0.438,0.767,89,73,4.4,50,0,7,34,1459.1,1364,713,225,570,1497,0.246,1.33
162,5732,939,1547,318,23,307,906,2832,525,1334,28,0.27,0.338,0.494,0.832,101,61,4.18,50,1,10,67,1463.1,1456,680,198,452,1463,0.257,1.3
162,5583,943,1493,290,17,306,904,2735,569,1437,55,0.267,0.339,0.49,0.829,103,59,4.31,50,1,9,53,1443,1374,691,248,507,1534,0.248,1.3
162,5561,845,1384,292,23,257,800,2493,578,1338,49,0.249,0.327,0.448,0.776,97,65,3.97,45,1,12,78,1465,1342,646,201,477,1299,0.242,1.24
162,5500,758,1305,254,28,239,730,2332,588,1581,115,0.237,0.316,0.424,0.74,68,94,4.99,34,3,4,51,1439.1,1484,798,260,505,1239,0.263,1.38
162,5540,810,1374,296,24,223,765,2387,534,1578,131,0.248,0.319,0.431,0.75,78,84,5.06,33,4,9,55,1438,1515,808,241,583,1379,0.269,1.46
162,5493,726,1299,270,21,247,697,2352,509,1514,51,0.236,0.305,0.428,0.733,67,95,4.79,33,1,7,40,1440.1,1450,767,228,604,1332,0.259,1.43
162,5560,855,1432,277,29,249,824,2514,619,1467,89,0.258,0.336,0.452,0.789,97,65,4.19,44,1,8,76,1450.2,1421,675,203,548,1393,0.256,1.36
162,5461,814,1378,270,26,256,783,2468,581,1460,45,0.252,0.333,0.452,0.785,84,78,4.1,1,1,1,0,1442,214,657,26,65,196,0.249,0.19
162,5450,701,1328,235,27,227,679,2298,492,1436,80,0.244,0.317,0.422,0.738,75,87,4.18,9,0,0,0,1438,323,668,55,134,398,0.235,0.32
162,5613,920,1538,323,28,288,891,2781,645,1166,67,0.274,0.352,0.495,0.848,107,55,3.66,47,2,14,89,1462.1,1205,595,230,448,1671,0.221,1.13
162,5493,886,1414,302,20,279,861,2593,607,1356,57,0.257,0.338,0.472,0.81,106,56,3.37,44,3,18,80,1445.2,1201,541,185,392,1519,0.223,1.1
162,5512,873,1460,298,27,231,824,2505,584,1308,116,0.265,0.342,0.454,0.796,93,69,4.27,40,1,13,87,1439.1,1340,683,202,517,1511,0.244,1.29
162,5624,791,1445,280,17,242,767,2485,516,1384,56,0.257,0.328,0.442,0.77,86,76,4.24,38,3,12,83,1461,1405,688,204,500,1520,0.251,1.3
162,5571,774,1369,311,26,215,742,2377,562,1453,78,0.246,0.319,0.427,0.746,81,81,4.53,36,3,7,58,1453.2,1452,731,258,546,1392,0.261,1.37
162,5657,758,1497,315,38,163,722,2377,425,1213,64,0.265,0.323,0.42,0.743,69,93,5.18,2,0,0,0,1440,269,829,39,100,271,0.262,0.26
162,5449,764,1336,246,24,210,714,2260,561,1420,116,0.245,0.324,0.415,0.739,91,71,3.8,25,0,0,0,1444,218,609,36,89,377,0.191,0.21
162,5391,682,1281,224,24,219,652,2210,504,1581,70,0.238,0.308,0.41,0.718,70,92,4.6,47,0,6,49,1432,1394,732,215,463,1475,0.251,1.3
162,5579,678,1332,300,26,167,655,2185,475,1435,47,0.239,0.302,0.392,0.694,77,85,4.38,41,1,8,51,1469,1395,715,227,519,1368,0.249,1.3
162,5660,835,1502,323,41,224,803,2579,489,1503,71,0.265,0.326,0.456,0.782,71,91,5.56,28,1,5,46,1448.2,1576,895,270,589,1264,0.277,1.49
162,5512,615,1326,265,18,146,593,2065,395,1469,55,0.241,0.298,0.375,0.673,57,105,4.74,27,2,8,60,1444.1,1340,760,236,615,1378,0.245,1.35
162,5633,813,1419,288,40,220,778,2447,540,1360,88,0.252,0.323,0.434,0.757,85,77,4.25,45,0,11,67,1465,1400,691,220,516,1427,0.251,1.31
162,5628,769,1427,291,29,217,730,2427,542,1493,94,0.254,0.325,0.431,0.757,96,66,3.65,46,0,12,53,1474.1,1274,598,181,453,1621,0.23,1.17
161,5529,708,1443,260,20,182,676,2289,378,1549,63,0.261,0.314,0.414,0.728,72,89,4.9,33,6,7,53,1412.2,1438,769,238,582,1312,0.263,1.43
161,5549,582,1333,292,41,149,556,2154,391,1595,57,0.24,0.294,0.388,0.682,47,114,5.24,31,0,3,40,1433,1555,835,250,536,1368,0.275,1.46
163,5542,754,1398,252,24,218,711,2352,537,1458,124,0.252,0.323,0.424,0.747,96,67,3.73,49,0,14,91,1461,1259,606,173,553,1428,0.233,1.24
163,5624,761,1453,286,34,167,722,2308,576,1388,66,0.258,0.333,0.41,0.744,95,68,3.65,46,1,18,82,1476.1,1319,598,157,622,1333,0.24,1.31
163,5572,804,1394,296,33,235,756,2461,647,1436,75,0.25,0.333,0.442,0.774,92,71,3.38,48,0,11,95,1476,1279,554,179,422,1565,0.23,1.15
163,5541,780,1418,280,42,210,748,2412,507,1397,95,0.256,0.322,0.435,0.757,91,72,4.33,51,0,10,87,1452.1,1377,699,184,525,1409,0.25,1.31
162,5507,622,1317,242,15,188,593,2153,422,1412,81,0.239,0.298,0.391,0.689,47,115,5.18,28,2,7,59,1431,1552,824,234,589,1203,0.276,1.5
162,5623,876,1509,355,31,208,829,2550,569,1253,125,0.268,0.339,0.453,0.792,108,54,3.75,46,2,14,85,1458.2,1305,608,176,512,1558,0.237,1.25
162,5472,721,1323,249,23,214,690,2260,514,1300,89,0.242,0.313,0.413,0.726,80,82,4.15,35,1,9,79,1437.1,1353,662,205,546,1386,0.248,1.32
162,5523,656,1332,259,40,182,639,2217,425,1594,98,0.241,0.302,0.401,0.703,62,100,4.83,34,0,8,64,1437,1404,771,196,653,1259,0.254,1.43
162,5595,818,1447,297,19,216,786,2430,554,1189,135,0.259,0.332,0.434,0.766,91,71,3.77,41,5,17,87,1457.1,1349,611,200,407,1544,0.242,1.2
162,5494,630,1326,284,35,135,597,2085,428,1341,70,0.241,0.3,0.38,0.68,64,98,4.58,37,0,2,65,1425.1,1423,726,216,491,1215,0.258,1.34
162,5505,638,1350,283,29,155,606,2156,427,1310,117,0.245,0.305,0.392,0.697,58,104,4.94,33,2,8,61,1432,1542,786,205,549,1157,0.275,1.46
162,5526,738,1379,317,22,166,704,2238,534,1328,47,0.25,0.318,0.405,0.723,78,84,4.5,37,2,7,68,1443.1,1425,721,198,573,1377,0.256,1.38
162,5515,851,1374,269,23,267,821,2490,625,1421,63,0.249,0.329,0.451,0.781,100,62,3.78,49,2,11,87,1456.1,1311,611,177,494,1634,0.237,1.24
162,5579,813,1407,322,20,227,778,2450,550,1381,35,0.252,0.325,0.439,0.764,97,65,3.81,44,2,14,82,1465.2,1303,621,184,474,1237,0.236,1.21
162,5513,677,1402,256,32,176,644,2250,430,1221,79,0.254,0.314,0.408,0.722,89,73,4.13,60,3,12,77,1448.2,1396,664,195,400,1328,0.252,1.24
162,5453,737,1308,266,24,194,696,2204,555,1484,74,0.24,0.318,0.404,0.722,67,95,4.92,42,1,5,63,1431,1516,783,222,491,1121,0.271,1.4
162,5477,709,1336,320,16,217,680,2339,499,1387,47,0.244,0.312,0.427,0.739,73,89,4.85,39,0,3,58,1433.2,1476,772,208,551,1298,0.265,1.41
162,5582,759,1433,314,29,175,717,2330,511,1290,90,0.257,0.324,0.417,0.742,90,72,3.75,40,2,11,85,1456.2,1236,607,153,635,1423,0.229,1.28
162,5532,696,1404,251,25,172,665,2221,559,1376,77,0.254,0.328,0.401,0.729,67,95,4.63,38,1,6,67,1441,1491,741,228,532,1258,0.266,1.4
162,5453,797,1390,278,18,205,763,2319,565,1197,71,0.255,0.329,0.425,0.754,103,59,3.11,46,3,12,105,1455,1164,503,152,435,1687,0.217,1.1
162,5517,771,1402,284,25,191,737,2309,631,1289,119,0.254,0.335,0.419,0.753,82,80,4.04,40,2,7,83,1446,1320,649,198,487,1417,0.242,1.25
162,5468,676,1282,265,34,170,649,2125,566,1404,71,0.234,0.312,0.389,0.701,77,85,4.07,41,3,15,77,1460.2,1364,661,185,484,1446,0.246,1.27
162,5424,677,1270,241,30,186,653,2129,582,1520,69,0.234,0.314,0.393,0.707,80,82,4.14,44,0,12,86,1445.2,1366,665,171,500,1465,0.249,1.29
162,5498,759,1369,248,9,205,725,2250,525,1380,63,0.249,0.321,0.409,0.73,88,74,3.85,43,1,8,82,1455.1,1354,622,144,593,1337,0.246,1.34
162,5486,617,1289,250,30,162,583,2085,471,1523,95,0.235,0.297,0.38,0.677,66,96,4.4,36,0,5,71,1457,1430,713,185,519,1399,0.256,1.34
162,5541,603,1324,255,30,133,573,2038,448,1467,77,0.239,0.3,0.368,0.667,73,89,3.95,36,1,15,83,1461.1,1387,641,156,524,1269,0.251,1.31
162,5460,693,1283,259,50,176,658,2170,560,1460,79,0.235,0.31,0.397,0.707,82,80,3.72,39,2,9,86,1463,1313,605,174,522,1448,0.239,1.25
162,5475,716,1415,274,43,150,664,2225,540,1388,128,0.258,0.333,0.406,0.74,90,72,3.74,52,0,14,92,1448.1,1236,602,164,501,1421,0.23,1.2
161,5447,692,1381,290,38,157,665,2218,474,1229,70,0.254,0.317,0.407,0.725,82,79,4,40,3,16,85,1434,1380,637,174,497,1336,0.251,1.31
161,5488,589,1303,222,24,128,554,1957,455,1384,45,0.237,0.303,0.357,0.659,63,98,4.76,30,1,12,69,1442,1388,762,192,605,1249,0.254,1.38
162,5611,896,1581,346,20,238,854,2681,509,1087,98,0.282,0.346,0.478,0.823,75,87,4.97,35,1,10,61,1441,1505,795,242,579,1233,0.269,1.45
162,5534,824,1510,293,38,192,793,2455,519,1408,59,0.273,0.338,0.444,0.781,93,69,3.7,39,5,11,88,1482.1,1384,610,195,465,1580,0.245,1.25
162,5602,778,1497,271,31,194,743,2412,486,1282,91,0.267,0.331,0.431,0.761,80,82,4.2,43,1,10,61,1440.2,1373,672,224,470,1312,0.251,1.28
162,5553,819,1477,311,31,215,796,2495,542,1327,108,0.266,0.332,0.449,0.782,67,95,4.78,25,0,3,63,1421.2,1384,755,242,632,1193,0.254,1.42
162,5511,818,1449,333,29,212,780,2476,604,1153,88,0.263,0.339,0.449,0.788,102,60,3.3,37,7,19,84,1440.2,1267,529,163,406,1614,0.236,1.16
162,5584,732,1467,289,26,165,706,2303,474,1184,77,0.263,0.326,0.412,0.738,64,98,5.36,32,2,4,72,1420.1,1587,846,218,538,1202,0.282,1.5
162,5594,858,1463,266,23,241,821,2498,616,1386,90,0.262,0.339,0.447,0.785,80,82,4.61,39,1,6,64,1437.2,1480,737,196,519,1216,0.265,1.39
162,5650,743,1469,269,12,232,713,2458,392,1412,32,0.26,0.312,0.435,0.747,86,76,4,54,1,12,65,1445.2,1381,642,185,553,1346,0.252,1.34
162,5557,815,1444,286,31,206,781,2410,593,1342,95,0.26,0.334,0.434,0.768,85,77,4.59,42,6,11,62,1436,1487,732,224,483,1166,0.266,1.37
162,5536,702,1436,260,24,193,660,2323,390,1166,91,0.259,0.311,0.42,0.731,91,71,3.72,36,2,7,75,1448.2,1248,599,192,504,1560,0.228,1.21
162,5551,750,1436,281,17,200,714,2351,487,1267,89,0.259,0.325,0.424,0.749,75,87,4.67,35,1,6,73,1431,1444,743,210,502,1202,0.261,1.36
162,5556,735,1435,289,35,187,699,2355,503,1313,65,0.258,0.324,0.424,0.748,78,84,4.46,39,1,9,62,1440.1,1399,713,237,490,1244,0.254,1.31
162,5669,785,1461,302,19,168,735,2305,571,1224,106,0.258,0.329,0.407,0.736,78,84,4.66,29,2,6,79,1434.1,1443,742,214,559,1107,0.261,1.4
162,5470,761,1402,284,28,196,728,2330,593,1348,81,0.256,0.334,0.426,0.76,76,86,4.42,45,2,6,69,1465,1460,720,203,549,1372,0.258,1.37
162,5513,706,1412,256,37,186,670,2300,401,1397,71,0.256,0.314,0.417,0.731,72,90,4.72,36,0,6,77,1441.1,1463,756,192,584,1258,0.263,1.42
162,5496,822,1402,274,29,223,785,2403,622,1401,62,0.255,0.338,0.437,0.775,92,70,3.95,38,2,8,77,1447.1,1294,636,194,554,1439,0.238,1.28
162,5525,812,1405,314,39,220,776,2457,578,1456,103,0.254,0.329,0.445,0.774,68,94,5.17,33,2,8,54,1430,1442,821,248,631,1300,0.263,1.45
162,5484,753,1390,249,38,219,715,2372,565,1329,120,0.253,0.329,0.433,0.761,101,61,4.12,45,1,9,67,1446,1314,662,192,522,1593,0.24,1.27
162,5510,735,1379,286,28,224,713,2393,529,1291,58,0.25,0.32,0.434,0.755,104,58,3.38,51,2,16,68,1444.2,1226,543,184,442,1549,0.228,1.15
162,5535,690,1382,287,36,174,654,2263,494,1417,59,0.25,0.315,0.409,0.723,97,65,3.88,46,3,5,99,1446.2,1300,623,189,495,1457,0.239,1.24
162,5467,732,1363,267,22,224,695,2346,547,1571,128,0.249,0.322,0.429,0.751,70,92,5.01,34,2,5,62,1434.2,1538,799,220,593,1374,0.273,1.49
162,5408,770,1347,312,20,221,730,2362,649,1380,77,0.249,0.334,0.437,0.771,66,96,4.55,33,1,7,65,1441,1471,729,221,527,1309,0.265,1.39
162,5551,639,1382,290,28,128,612,2112,467,1204,76,0.249,0.309,0.38,0.689,75,87,4.22,36,2,12,69,1440.2,1464,676,182,511,1262,0.264,1.37
162,5464,739,1344,305,15,234,708,2381,565,1491,57,0.246,0.319,0.436,0.755,83,79,4.01,43,3,12,79,1450.1,1393,646,183,493,1351,0.253,1.3
162,5478,694,1340,226,32,228,671,2314,545,1538,88,0.245,0.317,0.422,0.739,71,91,4.67,45,2,12,67,1430.2,1417,742,226,554,1325,0.259,1.38
162,5430,799,1326,255,21,237,756,2334,544,1493,113,0.244,0.32,0.43,0.75,64,98,4.5,32,3,5,82,1452,1515,726,182,496,1234,0.268,1.38
162,5458,668,1331,249,36,151,635,2105,519,1213,67,0.244,0.318,0.386,0.704,87,75,4.51,47,1,9,68,1437.2,1453,721,190,532,1270,0.264,1.38
162,5415,710,1314,251,14,186,678,2151,523,1198,136,0.243,0.315,0.397,0.712,77,85,4.82,34,1,7,54,1442.2,1450,772,193,627,1202,0.263,1.44
162,5499,693,1320,269,5,222,661,2265,542,1327,53,0.24,0.312,0.412,0.724,93,69,3.66,43,2,11,82,1441,1309,586,171,516,1482,0.24,1.27
162,5356,604,1251,227,31,189,576,2107,460,1499,89,0.234,0.299,0.393,0.692,80,82,3.97,53,0,9,73,1445,1324,638,193,503,1352,0.242,1.26
